source_file,source_sheet,source_kind,source_quality_weight,condition,dealer_name,brand,model,version,year,year_imputed,mileage_km,fuel_type,transmission,body_style,price_listing_mga,price_excl_tax_mga,price_negotiable_mga,forward_filled
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,RAV4,phase II,2002,false,160000,diesel,manual,suv,29000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,RAV4,phase III,2009,false,130000,diesel,manual,suv,55000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,RAV4,phase IV,2014,false,65000,diesel,automatic,suv,85000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Toyota,RAV4,phase V,2019,false,45000,hybrid,automatic,suv,170000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,NP300,,2011,false,180000,diesel,manual,pickup,40000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,NP300,,2017,false,110000,diesel,manual,pickup,65000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,NP300,,2021,false,60000,diesel,manual,pickup,80000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Navara,,2008,false,190000,diesel,manual,pickup,34000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Navara,,2014,false,115000,diesel,manual,pickup,55000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Navara,,2022,false,35000,diesel,manual,pickup,155000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Pathfinder,,2011,false,180000,diesel,manual,suv,30000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Pathfinder,,2014,false,120000,petrol,automatic,suv,65000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Xtrail,,2002,false,150000,diesel,manual,suv,25000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Xtrail,,2018,false,100000,diesel,automatic,suv,80000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Quashqai,,2015,false,100000,diesel,automatic,suv,65000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Patrol,Y61,2006,false,180000,diesel,manual,suv,140000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Patrol,Y62,2012,false,180000,diesel,manual,suv,180000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Patrol,V8,2023,false,60000,diesel,automatic,suv,240000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Nissan,Patrol,V8 phase II,2024,false,30000,petrol,automatic,suv,380000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Suzuki,Jimny,3p,2021,false,45000,diesel,automatic,suv,115000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Suzuki,Jimny,5p,2021,false,60000,diesel,manual,suv,118000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Suzuki,Swift,,2012,false,110000,petrol,manual,,65000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,picanto,,2008,false,180000,petrol,manual,,36000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,sorento,I,2008,false,145000,diesel,manual,suv,28000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,sorento,II,2012,false,155000,diesel,manual,suv,33000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,sorento,III,2015,false,130000,diesel,automatic,suv,37000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,sorento,IV,2018,false,100000,diesel,automatic,suv,47000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Rio,I,2006,false,160000,petrol,manual,,26000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Rio,II,2010,false,135000,petrol,manual,,31000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Pride,II,2011,false,145000,petrol,manual,sedan,35000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Pride,III,2016,false,110000,petrol,automatic,sedan,39000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Sportage,I,1998,false,200000,diesel,manual,suv,17000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Sportage,II,2004,false,170000,diesel,manual,suv,23000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Sportage,III,2011,false,125000,diesel,manual,suv,35000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Kia,Sportage,IV,2017,false,100000,diesel,automatic,suv,55000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,Santa fe,II,2008,false,170000,diesel,automatic,suv,28000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,Santa fe,III,2014,false,145000,diesel,automatic,suv,42000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,Tucson,,2012,false,145000,diesel,manual,suv,40000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,Ix35,,2011,false,160000,diesel,manual,suv,40000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,I30,,2015,false,90000,petrol,automatic,,38000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,i40,,2016,false,75000,petrol,automatic,wagon,44000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,Galoper,I,2003,false,240000,diesel,manual,suv,75000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Hyundai,Galoper,II,2007,false,190000,diesel,manual,suv,80000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Audi,Q3,,2014,false,100000,diesel,automatic,suv,75000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Audi,Q5,,2015,false,95000,diesel,automatic,suv,95000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Audi,Q7,,2015,false,90000,diesel,automatic,suv,110000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Audi,A3,,2009,false,170000,petrol,manual,,68000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Audi,A4,,2016,false,150000,diesel,automatic,sedan,72000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Audi,A6,,2016,false,150000,diesel,automatic,sedan,75000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,BMW,E30,,1989,false,220000,petrol,manual,sedan,16000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,BMW,E36,,1996,false,200000,petrol,manual,sedan,18000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,BMW,E90,,2009,false,160000,petrol,manual,sedan,45000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,BMW,F80,,2014,false,110000,petrol,manual,sedan,80000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,BMW,X3,,2006,false,190000,diesel,manual,suv,65000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,BMW,X6,,2013,false,135000,diesel,automatic,suv,110000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Mercedes-Benz,E200,,2004,false,240000,petrol,manual,sedan,40000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Mercedes-Benz,C200,,2002,false,180000,petrol,manual,sedan,45000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Mercedes-Benz,A200,,2002,false,200000,petrol,manual,,26000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Mercedes-Benz,ML,,2009,false,190000,diesel,automatic,suv,65000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Peugeot,206,,1999,false,250000,petrol,manual,,18000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Peugeot,207,,2010,false,190000,petrol,manual,,25000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Peugeot,208,,2014,false,140000,petrol,manual,,45000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Peugeot,307,,2007,false,200000,petrol,manual,,28000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Peugeot,2008,,2013,false,130000,petrol,automatic,suv,37000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Peugeot,3008,,2015,false,130000,petrol,automatic,suv,55000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Renault,Clio,II,2004,false,190000,petrol,manual,,12000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Renault,Clio,III,2009,false,175000,petrol,manual,,18000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Renault,Clio,IV,2013,false,145000,petrol,manual,,27000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Renault,Clio,V,2016,false,110000,petrol,manual,,44000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Renault,Duster,,2017,false,190000,diesel,manual,suv,55000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Renault,Kangoo,,2010,false,200000,diesel,manual,,37000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Citroen,DS3,,2014,false,145000,petrol,automatic,,55000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Citroen,DS4,,2014,false,145000,petrol,automatic,,60000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Citroen,DS5,,2016,false,120000,petrol,automatic,,67000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Land Rover,90,,1998,false,300000,diesel,manual,suv,110000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Land Rover,110,,2006,false,200000,diesel,manual,suv,170000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Chevrolet,Cruze,,2011,false,135000,petrol,manual,sedan,27000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Chevrolet,Malibu,,2016,false,150000,petrol,automatic,sedan,36000000,,,true
